,guitar,chart,segmentsPitches_var_9,uk,segmentsPitches_mean_5,arorx9k1187fb3dc3f,garage,ar13ulo1187fb3f043,alternative,segmentsTimbre_mean_7,artistTermsFreq_mean,arxdfn01187b9ae80e,indie,arlr9u31187b9a71ad,grunge,classic,wave,ar30r5e1187b9ad78a,ardahwh1187fb4b0e7,arh3s5s1187fb4f76b,electronica,segmentsPitches_mean_1,contemporary,armkodx11f50c4bd1b,songHotttnesss,heavy,usa,indietronica,industrial,post,swedish,sexy,arm7edf1187b9b3fa1,english,funky,arbfq7l1187b9acd48,segmentsPitches_var_7,arhonde11f4c83c1d7,segmentsPitches_var_6,black,artistTermsWeight_mean,melodic,arnlo5s1187b9b80cc,metal,00s,ard3lxu1187b9abfc5,segmentsLoudnessMaxStart_mean,world,year,emo,segmentsPitches_var_12,arpanxo1187b9b468a,glam,arm8p4t1187b99f4ba,progressive,punk,mellow,loudness,emotional,album,rock,segmentsPitches_mean_6,soundtrack,arwem1d1187fb4077b,arfcun31187b9ad578,epic,artistFamiliarity,aggressive,aruj5a41187fb3f5f1,ar633sy1187b9ac3b9,lyrics,american,death,arh6w4x1187b99274f,arndl191187fb51583,hard,metalcore,arbeohf1187b9b044d,armi8bw1187fb57b2e,ardibrt1187b9af176,artistHotness,Hit_Flop_Class
0,0.0,0.0,729.2946859,0.0,-43.23490319,0.0,0.0,0.0,2.0,0.35035015399999997,0.563869117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.51277755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0288571000001,0.0,1411.366571,0.0,0.6815877659999999,0.0,0.0,0.0,0.0,0.0,-24.22585891,0.0,0.0,0.0,314.2324292,0.0,0.0,0.0,0.0,1.0,0.0,-11.197000000000001,0.0,0.0,3.0,15.17094748,0.0,0.0,0.0,0.0,0.581793766,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40199754299999996,0.0
1,0.0,0.0,188.2825199,0.0,-43.50535067,0.0,0.0,0.0,3.0,0.38254829100000004,0.748447658,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.25155423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,402.82075539999994,0.0,541.7450495,0.0,0.832219545,0.0,0.0,3.0,0.0,0.0,-12.15608915,0.0,2007.0,1.0,119.3195158,0.0,0.0,0.0,0.0,5.0,0.0,-4.501,0.0,0.0,5.0,-17.9972526,1.0,0.0,0.0,0.0,0.651045661,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.401723686,0.0
2,1.0,0.0,240.14715550000003,0.0,-32.76273136,0.0,0.0,0.0,1.0,0.36007565799999997,0.6302180860000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.64354496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.7392005,0.0,420.4118103,0.0,0.757063563,1.0,0.0,0.0,0.0,0.0,-21.77864583,2.0,1984.0,0.0,201.24697790000002,0.0,0.0,0.0,2.0,0.0,0.0,-13.495999999999999,0.0,0.0,7.0,-14.61249671,0.0,0.0,0.0,0.0,0.42666785700000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.332275747,0.0
3,1.0,0.0,355.71490389999997,0.0,-36.95684979,0.0,0.0,0.0,3.0,0.298351931,0.285098348,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.28118598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0687891,0.0,259.590891,0.0,0.481961552,0.0,0.0,0.0,0.0,0.0,-16.88755079,1.0,0.0,0.0,267.1724429,0.0,0.0,0.0,0.0,1.0,0.0,-10.021,0.0,0.0,8.0,-17.15276109,0.0,0.0,0.0,0.0,0.360031166,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296268954,0.0
4,0.0,0.0,558.3190116000001,0.0,13.25028218,0.0,0.0,0.0,0.0,0.348961895,0.598687403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.04520288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.1700158,0.0,1550.865629,0.0,0.6693266520000001,0.0,0.0,0.0,0.0,0.0,-19.02798867,0.0,0.0,0.0,280.89860560000005,0.0,0.0,0.0,0.0,0.0,0.0,-6.632000000000001,0.0,0.0,0.0,13.97069825,0.0,0.0,0.0,0.0,0.577508974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37948217,0.0
5,0.0,0.0,357.8240437,0.0,-16.91355139,0.0,0.0,0.0,0.0,0.41954722200000005,0.700450653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5777625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.4168622999999,0.0,1042.651001,0.0,0.73409469,0.0,0.0,0.0,0.0,0.0,-19.38676667,1.0,0.0,0.0,498.77342189999996,0.0,0.0,0.0,0.0,0.0,0.0,-7.75,0.0,0.0,4.0,3.121205556,0.0,0.0,0.0,0.0,0.085512047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251936525,0.0
6,0.0,0.0,286.53763430000004,0.0,-5.948311839,0.0,0.0,0.0,1.0,0.422522199,0.629326347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.48100529,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.4862571000001,0.0,979.8563541000001,0.0,0.753651295,1.0,0.0,0.0,0.0,0.0,-29.33629281,1.0,0.0,0.0,309.5478916,0.0,0.0,0.0,0.0,0.0,0.0,-16.11,0.0,0.0,1.0,-8.912612051,1.0,0.0,0.0,0.0,0.419943148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330806357,0.0
7,1.0,0.0,220.53363109999998,0.0,-26.35708413,1.0,1.0,0.0,2.0,0.195342548,0.7079256490000001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.60558894,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,420.0675863,0.0,635.5375368,0.0,0.772873789,0.0,1.0,6.0,0.0,0.0,-14.65981971,0.0,2004.0,0.0,199.66526340000001,0.0,2.0,0.0,1.0,0.0,0.0,-5.271,0.0,1.0,11.0,-11.00788462,0.0,0.0,1.0,0.0,0.7071997640000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.51346329,1.0
8,0.0,0.0,188.8654864,0.0,0.960766667,0.0,0.0,0.0,0.0,0.15003333300000002,0.814323771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.35904167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.71273080000003,0.0,345.5175842,0.0,0.7605959059999999,0.0,0.0,0.0,0.0,0.0,-16.03801,0.0,0.0,0.0,159.6380951,0.0,0.0,0.0,0.0,0.0,0.0,-6.787000000000001,0.0,0.0,0.0,-10.49522167,0.0,0.0,0.0,0.0,0.32031437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,0.0,514.1547257,0.0,-3.8434927539999997,0.0,0.0,0.0,1.0,0.560913043,0.539440959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.29077053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.3757383,0.0,957.6272862,0.0,0.644970709,0.0,0.0,0.0,0.0,0.0,-21.26203865,0.0,0.0,0.0,441.63406169999996,0.0,0.0,0.0,0.0,0.0,0.0,-8.514,0.0,0.0,4.0,3.71951087,0.0,1.0,0.0,0.0,0.48981626899999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.328553015,0.0
